Trait,Word
Accuracy,"perfection,accurate,accuracy,detailed,meticulous,thorough"
Achievement,"achieved,accomplished,secured,succeeded,ranked"
Administration,"organized,organised,managed,coordinated,facilitated,monitored,executed"
Analytical,"analyzed,analysed,deduced,forecasted,identified,formulated,reviewed"
Communication,"communicated,speech,presented,articulated,negotiated"
Competant,"competed,contributed,enhanced,mastered,demonstrated,participated"
Creative,"innovated,designed,imagined,conceptualized,illustrated,visualized,conceptualised,visualised"
Dedication,"devoted,engaged,focused,completed"
Decisive,"decided,determined,concluded,resolved,acted,established,authorized,prioritized,authorised,prioritised"
Dependable,"fulfilled,adhered,upheld,responded"
Improvement,"optimized,refined,elevated,streamlined,expanded,restructured,optimised"
Initiative,"took,launched,proposed,pioneered,initiated,developed,championed"
Leadership,"led,inspired,motivated,cultivated,coached,strategized,influenced,orchestrated,empowered,unified,strategised"
Learner,"learned,explored,studied,researched,practiced,adapted,applied"
Loyalty,"committed,supported,advocated,promoted,fostered,strengthened,represented"
Planning,"scheduled,planned,conducted"
Resilient,"overcame,persisted,bounced,triumphed,navigated,embraced"
Responsible,"responsibly,oversaw,ensured,delivered,maintained,diligently"
Hardwork,"strived,endeavored,persevered,dedicated,tenacious"
Teamwork,"collaborated,partnered"
